filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
"DSC09352.JPG,6422528,""{}"",11,0,""{""""name"""":""""rect"""",""""x"""":512,""""y"""":876,""""width"""":650,""""height"""":327}"",""{""""human"""":"""""""",""""animal"""":"""""""",""""obstacle"""":""""""""}"""
"DSC09352.JPG,6422528,""{}"",11,1,""{""""name"""":""""rect"""",""""x"""":1074,""""y"""":28,""""width"""":180,""""height"""":1180}"",""{""""human"""":undefined,""""animal"""":undefined,""""obstacle"""":undefined}"""
"DSC09352.JPG,6422528,""{}"",11,2,""{""""name"""":""""rect"""",""""x"""":1295,""""y"""":959,""""width"""":691,""""height"""":212}"",""{""""human"""":undefined,""""animal"""":undefined,""""obstacle"""":undefined}"""
"DSC09352.JPG,6422528,""{}"",11,3,""{""""name"""":""""rect"""",""""x"""":2060,""""y"""":120,""""width"""":839,""""height"""":1051}"",""{""""human"""":undefined,""""animal"""":undefined,""""obstacle"""":undefined}"""
"DSC09352.JPG,6422528,""{}"",11,4,""{""""name"""":""""rect"""",""""x"""":2968,""""y"""":101,""""width"""":488,""""height"""":1138}"",""{""""human"""":undefined,""""animal"""":undefined,""""obstacle"""":undefined}"""
"DSC09352.JPG,6422528,""{}"",11,5,""{""""name"""":""""rect"""",""""x"""":4410,""""y"""":373,""""width"""":74,""""height"""":705}"",""{""""human"""":undefined,""""animal"""":undefined,""""obstacle"""":undefined}"""
"DSC09352.JPG,6422528,""{}"",11,6,""{""""name"""":""""rect"""",""""x"""":4963,""""y"""":157,""""width"""":235,""""height"""":1014}"",""{""""human"""":undefined,""""animal"""":undefined,""""obstacle"""":undefined}"""
"DSC09352.JPG,6422528,""{}"",11,7,""{""""name"""":""""rect"""",""""x"""":4088,""""y"""":1028,""""width"""":659,""""height"""":263}"",""{""""human"""":undefined,""""animal"""":undefined,""""obstacle"""":undefined}"""
"DSC09352.JPG,6422528,""{}"",11,8,""{""""name"""":""""rect"""",""""x"""":3479,""""y"""":705,""""width"""":622,""""height"""":1456}"",""{""""human"""":undefined,""""animal"""":undefined,""""obstacle"""":undefined}"""
"DSC09352.JPG,6422528,""{}"",11,9,""{""""name"""":""""rect"""",""""x"""":4152,""""y"""":1618,""""width"""":1230,""""height"""":862}"",""{""""human"""":undefined,""""animal"""":undefined,""""obstacle"""":undefined}"""
"DSC09352.JPG,6422528,""{}"",11,10,""{""""name"""":""""rect"""",""""x"""":1687,""""y"""":751,""""width"""":124,""""height"""":184}"",""{""""human"""":undefined,""""animal"""":undefined,""""obstacle"""":undefined}"""
"DSC09353.JPG,6258688,""{}"",14,0,""{""""name"""":""""rect"""",""""x"""":627,""""y"""":488,""""width"""":806,""""height"""":1880}"",""{""""human"""":undefined,""""animal"""":undefined,""""obstacle"""":undefined}"""
"DSC09353.JPG,6258688,""{}"",14,1,""{""""name"""":""""rect"""",""""x"""":-106,""""y"""":1760,""""width"""":1046,""""height"""":995}"",""{""""human"""":undefined,""""animal"""":undefined,""""obstacle"""":undefined}"""
"DSC09353.JPG,6258688,""{}"",14,2,""{""""name"""":""""rect"""",""""x"""":1498,""""y"""":618,""""width"""":263,""""height"""":300}"",""{""""human"""":undefined,""""animal"""":undefined,""""obstacle"""":undefined}"""
"DSC09353.JPG,6258688,""{}"",14,3,""{""""name"""":""""rect"""",""""x"""":1963,""""y"""":673,""""width"""":106,""""height"""":235}"",""{""""human"""":undefined,""""animal"""":undefined,""""obstacle"""":undefined}"""
"DSC09353.JPG,6258688,""{}"",14,4,""{""""name"""":""""rect"""",""""x"""":2134,""""y"""":83,""""width"""":180,""""height"""":802}"",""{""""human"""":undefined,""""animal"""":undefined,""""obstacle"""":undefined}"""
"DSC09353.JPG,6258688,""{}"",14,5,""{""""name"""":""""rect"""",""""x"""":1267,""""y"""":69,""""width"""":106,""""height"""":1000}"",""{""""human"""":undefined,""""animal"""":undefined,""""obstacle"""":undefined}"""
"DSC09353.JPG,6258688,""{}"",14,6,""{""""name"""":""""rect"""",""""x"""":2350,""""y"""":46,""""width"""":793,""""height"""":1078}"",""{""""human"""":undefined,""""animal"""":undefined,""""obstacle"""":undefined}"""
"DSC09353.JPG,6258688,""{}"",14,7,""{""""name"""":""""rect"""",""""x"""":3198,""""y"""":69,""""width"""":590,""""height"""":797}"",""{""""human"""":undefined,""""animal"""":undefined,""""obstacle"""":undefined}"""
"DSC09353.JPG,6258688,""{}"",14,8,""{""""name"""":""""rect"""",""""x"""":1461,""""y"""":908,""""width"""":747,""""height"""":258}"",""{""""human"""":undefined,""""animal"""":undefined,""""obstacle"""":undefined}"""
"DSC09353.JPG,6258688,""{}"",14,9,""{""""name"""":""""rect"""",""""x"""":3544,""""y"""":917,""""width"""":719,""""height"""":336}"",""{""""human"""":undefined,""""animal"""":undefined,""""obstacle"""":undefined}"""
"DSC09353.JPG,6258688,""{}"",14,10,""{""""name"""":""""rect"""",""""x"""":4304,""""y"""":55,""""width"""":235,""""height"""":1175}"",""{""""human"""":undefined,""""animal"""":undefined,""""obstacle"""":undefined}"""
"DSC09353.JPG,6258688,""{}"",14,11,""{""""name"""":""""rect"""",""""x"""":4378,""""y"""":935,""""width"""":770,""""height"""":290}"",""{""""human"""":undefined,""""animal"""":undefined,""""obstacle"""":undefined}"""
"DSC09353.JPG,6258688,""{}"",14,12,""{""""name"""":""""rect"""",""""x"""":4143,""""y"""":493,""""width"""":1134,""""height"""":470}"",""{""""human"""":undefined,""""animal"""":undefined,""""obstacle"""":undefined}"""
"DSC09353.JPG,6258688,""{}"",14,13,""{""""name"""":""""rect"""",""""x"""":4816,""""y"""":171,""""width"""":171,""""height"""":940}"",""{""""human"""":undefined,""""animal"""":undefined,""""obstacle"""":undefined}"""
"DSC09354.JPG,6422528,""{}"",14,0,""{""""name"""":""""rect"""",""""x"""":774,""""y"""":797,""""width"""":899,""""height"""":318}"",""{""""human"""":undefined,""""animal"""":undefined,""""obstacle"""":undefined}"""
"DSC09354.JPG,6422528,""{}"",14,1,""{""""name"""":""""rect"""",""""x"""":46,""""y"""":843,""""width"""":590,""""height"""":276}"",""{""""human"""":undefined,""""animal"""":undefined,""""obstacle"""":undefined}"""
"DSC09354.JPG,6422528,""{}"",14,2,""{""""name"""":""""rect"""",""""x"""":461,""""y"""":129,""""width"""":272,""""height"""":991}"",""{""""human"""":undefined,""""animal"""":undefined,""""obstacle"""":undefined}"""
"DSC09354.JPG,6422528,""{}"",14,3,""{""""name"""":""""rect"""",""""x"""":1770,""""y"""":41,""""width"""":1083,""""height"""":1041}"",""{""""human"""":undefined,""""animal"""":undefined,""""obstacle"""":undefined}"""
"DSC09354.JPG,6422528,""{}"",14,4,""{""""name"""":""""rect"""",""""x"""":2908,""""y"""":664,""""width"""":230,""""height"""":530}"",""{""""human"""":undefined,""""animal"""":undefined,""""obstacle"""":undefined}"""
"DSC09354.JPG,6422528,""{}"",14,5,""{""""name"""":""""rect"""",""""x"""":3032,""""y"""":28,""""width"""":424,""""height"""":820}"",""{""""human"""":undefined,""""animal"""":undefined,""""obstacle"""":undefined}"""
"DSC09354.JPG,6422528,""{}"",14,6,""{""""name"""":""""rect"""",""""x"""":3230,""""y"""":903,""""width"""":820,""""height"""":336}"",""{""""human"""":undefined,""""animal"""":undefined,""""obstacle"""":undefined}"""
"DSC09354.JPG,6422528,""{}"",14,7,""{""""name"""":""""rect"""",""""x"""":4092,""""y"""":55,""""width"""":115,""""height"""":1120}"",""{""""human"""":undefined,""""animal"""":undefined,""""obstacle"""":undefined}"""
"DSC09354.JPG,6422528,""{}"",14,8,""{""""name"""":""""rect"""",""""x"""":4599,""""y"""":46,""""width"""":194,""""height"""":903}"",""{""""human"""":undefined,""""animal"""":undefined,""""obstacle"""":undefined}"""
